Date,USD,BOV
9/3/2015,3.7539,47.36587
9/4/2015,3.735,46.49772
9/8/2015,3.835,46.76207
9/9/2015,3.8159,46.6571
9/10/2015,3.7787,46.50399
9/11/2015,3.8481,46.40051
9/14/2015,3.8682,47.28152
9/15/2015,3.8107,47.36407
9/16/2015,3.8597,48.5531
9/17/2015,3.8286,48.55108
9/18/2015,3.8914,47.26408
9/21/2015,3.939,46.5902
9/22/2015,3.9814,46.26461
9/23/2015,4.0477,45.34011
9/24/2015,4.1751,45.29197
9/25/2015,3.933,44.83146
9/28/2015,3.9676,43.95663
9/29/2015,4.1037,44.13182
9/30/2015,4.0544,45.05935
10/1/2015,3.9457,45.31327
10/2/2015,3.9988,47.03346
10/5/2015,3.9275,47.59807
10/6/2015,3.9099,47.73511
10/7/2015,3.849,48.91432
10/8/2015,3.8803,49.10656
10/9/2015,3.7819,49.33841
10/13/2015,3.7605,47.36264
10/14/2015,3.8888,46.71044
10/15/2015,3.8071,47.16115
10/16/2015,3.7925,47.2361
10/19/2015,3.9207,47.44731
10/20/2015,3.8878,47.07655
10/21/2015,3.9023,47.02587
10/22/2015,3.9367,47.77214
10/23/2015,3.9023,47.59659
10/26/2015,3.8756,47.20932
10/27/2015,3.9039,47.04295
10/28/2015,3.8834,46.74085
10/29/2015,3.8972,45.62835
10/30/2015,3.8447,45.86882
11/3/2015,3.8702,48.05367
11/4/2015,3.7671,47.7101
11/5/2015,3.7956,48.04676
11/6/2015,3.7801,46.91852
11/9/2015,3.7663,46.19492
11/10/2015,3.7991,46.20657
11/11/2015,3.7454,47.06501
11/12/2015,3.7629,46.88358
11/13/2015,3.7669,46.51704
11/16/2015,3.8406,46.84687
11/17/2015,3.8256,47.2478
11/18/2015,3.8083,47.43558
11/19/2015,3.7671,48.13889
11/23/2015,3.6996,48.15027
11/24/2015,3.7289,48.28419
11/25/2015,3.6962,46.86664
11/26/2015,3.7394,47.14563
11/27/2015,3.7384,45.87292
11/30/2015,3.8436,45.12036
12/1/2015,3.8666,45.04675
12/2/2015,3.8506,44.91453
12/3/2015,3.8323,46.39326
12/4/2015,3.7559,45.36076
12/7/2015,3.7462,45.2227
12/8/2015,3.7595,44.44326
12/9/2015,3.8145,46.10803
12/10/2015,3.7427,45.63071
12/11/2015,3.8078,45.26272
12/14/2015,3.8127,44.74731
12/15/2015,3.8844,44.87247
12/16/2015,3.9059,45.01585
12/17/2015,3.8929,45.26148
12/18/2015,3.8763,43.9106
12/21/2015,3.9784,43.19995
12/22/2015,4.0114,43.46952
12/23/2015,3.9852,44.01493
12/28/2015,3.9082,43.76434
12/29/2015,3.8551,43.65397
12/30/2015,3.8641,43.34996
1/4/2016,3.9491,42.14104
1/5/2016,4.0373,42.41932
1/6/2016,4.0269,41.77314
1/7/2016,4.0199,40.69472
1/8/2016,4.0415,40.61221
1/11/2016,3.9932,39.95049
1/12/2016,4.05,39.51383
1/13/2016,4.0251,38.94444
1/14/2016,4.0141,39.50011
