"Timestamp","Qual foi sua pontualidade?","Qual seu nível de concentração na aula?","Qual seu nível de uso do material disponível no sistema online?","Comunicação com professor(a)","Qual seu sentimento com relação a programação agora após o final do curso?","Você acredita que programação tem um papel relevante na análise de dados?","Como você avalia a evolução do seu Raciocínio Lógico  após o curso?","Como você avalia a evolução do seu Raciocínio Matemático após o curso?","Após o curso, como você avalia sua capacidade de analisar dados, por exemplo interpretar gráficos e dados publicados pela mídia?","Após o curso, qual sua percepção sobre Inteligência Artificial (IA) e aprendizado de máquina (ML) ?","Concluído o curso, como você avalia a evolução da sua habilidade em programação?","Ano","Curso","Qual foi a sua pontualidade?","Qual foi seu nível de concentração na aula?","Como foi feita a comunicação com professor(a)?","Concluído o curso, como você avalia a sua motivacao com relacao a programação?","Após o curso, quão bom você avalia seu raciocínio lógico?","Apos o curso, qual o seu nível de facilidade com as disciplinas exatas, como matemática?","Após o curso, quão bom você avalia seu raciocínio matemático?","Após o curso, qual o seu nível de facilidade em analisar dados e gráficos divulgados pela mídia ?","Após o curso, quanto você consegue abstrair?","Após o curso, quanto você consegue seguir um algoritmo?","Após o curso, quão relevante você acha conhecimentos de programação para a sociedade?","Após o curso, quão relevante você acha conhecimentos de programação para o seu curso?","Após o curso, quão relevante você acha conhecimentos de programação para a análise de dados?","Após o curso, quão bem você pôde usar ferramentas e técnicas computacionais necessárias para o desenvolvimento do seu curso?","Após o curso, quão aplicável você acha que Inteligência Artificial (IA) e Machine Learning (ML) é para sociedade?","Concluído o curso, como você avalia seu nivel de interesse com relaao programação?","rac_logico","rac_matematico","dados_graficos","IA_ML","relevancia","sentimento_fim","prog_ava","logico","matematico","ana_dados","ia","habilidade"
2022-06-16 07:43:38,NA,NA,"Além de estudar o material do sistema online, busquei outros materiais externos",NA,NA,NA,NA,NA,NA,NA,NA,"2022/1","Ciências Econômicas","Pontual.","Fiquei atento(a) e focado(a) no conteúdo apresentado, Fiquei entretido(a) com algum outro material nos computadores de aula ou meu celular","A comunicação ocorreu predominantemente durante as aulas teóricas.",NA,3,3,3,4,4,3,5,4,4,4,5,3,"3","3","4","5","4",NA,"3",2.4,2.4,3.2,4,2.4
2022-06-16 07:44:24,NA,NA,"Acessei  frequentemente o sistema online, lendo todo material publicado",NA,NA,NA,NA,NA,NA,NA,NA,"2022/1","Administração","Pontual.","Participei ativamente colocando dúvidas e opiniões, Fiquei atento(a) e focado(a) no conteúdo apresentado, Fiquei conversando outros assuntos com colegas","A comunicação ocorreu predominantemente durante as aulas teóricas.",NA,4,1,2,4,3,4,5,3,5,3,5,2,"4","2","4","5","5",NA,"2",3.2,1.6,3.2,4,1.6
2022-06-16 07:44:54,NA,NA,"Além de estudar o material do sistema online, busquei outros materiais externos",NA,NA,NA,NA,NA,NA,NA,NA,"2022/1","Administração","Pontual.","Participei ativamente colocando dúvidas e opiniões, Fiquei atento(a) e focado(a) no conteúdo apresentado","A comunicação ocorreu predominantemente durante as aulas teóricas.",NA,3,2,3,4,5,5,5,5,4,5,5,3,"3","3","4","5","4",NA,"3",2.4,2.4,3.2,4,2.4
2022-08-02 07:36:02,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2022/2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,3.2,4,4,NA
2022-08-02 07:36:12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2022/2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.2,3.2,3.2,3.2,NA
2022-08-02 07:37:42,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2022/2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.2,2.4,3.2,3.2,NA
2022-08-02 07:39:31,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2022/2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.4,1.6,2.4,3.2,NA
2022-08-02 07:39:50,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2022/2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.2,3.2,3.2,4,NA
2022-08-02 07:39:53,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2022/2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.2,3.2,4,3.2,NA
2022-08-02 07:40:11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2022/2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,4,4,4,NA
2022-08-02 07:40:12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2022/2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.2,2.4,3.2,2.4,NA
2022-08-02 07:40:18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2022/2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.4,3.2,4,2.4,NA
2022-08-02 07:40:28,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2022/2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.2,3.2,3.2,3.2,NA
2022-08-02 07:40:40,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2022/2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.4,2.4,3.2,2.4,NA
2022-08-02 07:41:05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2022/2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.2,1.6,2.4,3.2,NA
2022-08-02 07:41:17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2022/2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,3.2,4,2.4,NA
2022-08-02 07:41:37,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2022/2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,2.4,3.2,3.2,NA
2022-08-02 07:41:58,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2022/2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.4,2.4,3.2,4,NA
2022-08-02 07:43:35,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2022/2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.4,3.2,1.6,3.2,NA
2022-08-02 07:46:37,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2022/2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.2,4,4,3.2,NA
2022-08-02 07:46:41,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2022/2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,3.2,3.2,3.2,NA
2022-08-02 07:46:28,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2022/2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,2.4,4,3.2,NA
2022-08-02 07:46:32,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2022/2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.4,3.2,3.2,3.2,NA
2022-08-02 07:48:03,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2022/2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.2,2.4,2.4,3.2,NA
2022-08-02 07:48:04,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2022/2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.2,4,3.2,4,NA
2022-08-02 07:48:21,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2022/2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.2,4,3.2,4,NA
