,relevancia,aplicabilidade,raclogico,abstracao,racmath,stats,anadados,anagraf,anapreditiva,ferramentavisual
Average,4,4,4.3,3.8,4.1,3.9,2.9,3.1,2.5,3.5
SD,0,0,0.1,0.2,0.2,0.2,0.15,0.1,0.25,0.15
