,relevancia,aplicabilidade,raclogico,abstracao,racmath,stats,anadados,anagraf,anapreditiva,ferramentavisual
Average,4,4,4.2,3.9,4,3.8,3,3,2.6,3.4
SD,0,0,0.11,0.19,0.19,0.19,0.14,0.11,0.22,0.13
