,relevancia,aplicabilidade,raclogico,abstracao,racmath,stats,anadados,anagraf,anapreditiva,ferramentavisual
Average,5,5,4.6,4.5,4.2,4.3,4.1,4.2,4.4,3.4
SD,0,0,0.11,0.19,0.19,0.19,0.14,0.11,0.22,0.13
