raclogico,abstracao,racmath,stats,anadados,anagraf,anapreditiva,ferramentavisual,semestre,turma,entrada,matricula
5,3,5,3,3,3,2,3,20.2,PMLAD202,AD202,AD20259
4,4,4,4,3,3,3,3,20.2,PMLAD202,AD202,AD20287
4,4,4,4,3,3,3,3,20.2,PMLAD202,AD202,AD202130
5,3,4,4,3,3,2,3,20.2,PMLAD202,AD202,AD202206
4,4,4,4,3,3,3,3,20.2,PMLAD202,AD202,AD202296
4,4,4,4,3,3,2,3,20.2,PMLAD202,AD202,AD202319
4,4,4,4,3,3,3,3,20.2,PMLAD202,AD202,AD20240
4,4,4,4,3,3,3,3,20.2,PMLAD202,AD202,AD202173
4,4,4,4,3,3,3,3,20.2,PMLAD202,AD202,AD202257
5,3,5,3,3,3,2,3,20.2,PMLAD202,AD202,AD20225
4,4,4,4,3,3,3,3,20.2,PMLAD202,AD202,AD202174
5,3,5,4,3,3,2,3,20.2,PMLAD202,AD202,AD202198
4,4,4,4,3,3,3,3,20.2,PMLAD202,AD202,AD202317
5,3,5,4,3,3,2,3,20.2,PMLAD202,AD202,AD202194
4,4,4,4,3,3,3,3,20.2,PMLAD202,AD202,AD202318
4,4,4,4,3,3,3,3,20.2,PMLAD202,AD202,AD20299
4,4,4,4,3,3,3,3,20.2,PMLAD202,AD202,AD202116
4,4,4,4,3,3,3,5,20.2,PMLAD202,AD202,AD202124
4,4,4,4,3,3,3,3,20.2,PMLAD202,AD202,AD202133
4,4,4,4,3,3,3,3,20.2,PMLAD202,AD202,AD20260
4,4,4,4,3,3,3,3,20.2,PMLAD202,AD202,AD202323
4,4,4,4,3,3,3,3,20.2,PMLAD202,AD202,AD202121
4,4,4,4,3,3,3,3,21.1,PMLEC211,EC211,EC211156
4,4,4,4,3,3,3,3,21.1,PMLEC211,EC211,EC211143
4,4,4,4,3,3,3,3,21.1,PMLEC211,EC211,EC211150
4,4,4,4,3,3,3,3,21.1,PMLEC211,EC211,EC211310
5,3,5,4,3,3,2,3,21.1,PMLEC211,EC211,EC21166
4,4,4,4,3,5,3,5,21.1,PMLEC211,EC211,EC211274
5,3,4,3,3,3,2,3,21.1,PMLEC211,EC211,EC211163
4,4,4,4,3,3,3,3,21.1,PMLEC211,EC211,EC21151
4,4,4,4,3,3,2,3,21.1,PMLEC211,EC211,EC211142
4,4,4,4,3,3,3,5,21.1,PMLEC211,EC211,EC211226
4,4,4,4,3,3,3,3,21.1,PMLEC211,EC211,EC21131
5,3,4,3,3,3,2,3,21.1,PMLEC211,EC211,EC211181
4,4,4,4,3,3,2,3,21.1,PMLEC211,EC211,EC211241
4,4,4,4,3,3,3,3,21.1,PMLEC211,EC211,EC211328
5,3,5,3,3,3,2,3,21.1,PMLEC211,EC211,EC211301
4,4,4,4,3,3,3,3,21.1,PMLEC211,EC211,EC211241
4,4,4,4,3,3,3,5,21.1,PMLEC211,EC211,EC211102
4,4,4,4,3,3,3,3,21.1,PMLEC211,EC211,EC21146
4,4,4,4,3,3,3,3,21.1,PMLEC211,EC211,EC211289
4,4,4,4,3,3,3,3,21.1,PMLEC211,EC211,EC21172
4,4,4,4,3,3,3,3,21.1,PMLEC211,EC211,EC211158
5,3,5,4,3,3,2,3,21.1,PMLEC211,EC211,EC21177
4,4,4,4,3,3,3,3,21.1,PMLEC211,EC211,EC211184
4,3,4,4,2,3,2,5,21.1,PMLEC211,EC211,EC211161
5,3,4,3,3,3,2,3,21.1,PMLEC211,EC211,EC211183
4,4,4,4,3,3,3,5,21.1,PMLEC211,EC211,EC211107
4,4,4,4,3,3,3,3,21.1,PMLEC211,EC211,EC21128
5,3,4,4,2,3,2,5,21.1,PMLEC211,EC211,EC211297
4,4,4,4,3,3,3,3,21.1,PMLEC211,EC211,EC211155
4,4,4,4,3,3,3,3,21.1,PMLEC211,EC211,EC211188
4,4,4,4,3,3,3,3,21.1,PMLEC211,EC211,EC21154
4,4,4,4,3,3,3,3,21.1,PMLAD211,AD211,AD21131
4,4,4,4,3,3,3,3,21.1,PMLAD211,AD211,AD211214
5,3,4,4,3,3,2,3,21.1,PMLAD211,AD211,AD211288
4,4,4,4,3,3,3,3,21.1,PMLAD211,AD211,AD211148
4,4,4,4,3,3,3,3,21.1,PMLAD211,AD211,AD211256
4,4,4,4,3,3,3,3,21.1,PMLAD211,AD211,AD21131
4,4,4,4,3,3,3,3,21.1,PMLAD211,AD211,AD211343
5,3,5,3,3,3,2,3,21.1,PMLAD211,AD211,AD21149
4,4,4,4,3,3,3,3,21.1,PMLAD211,AD211,AD211222
4,4,4,4,3,3,3,3,21.1,PMLAD211,AD211,AD21181
4,4,4,4,3,3,3,3,21.1,PMLAD211,AD211,AD211174
4,4,4,4,3,3,3,3,21.1,PMLAD211,AD211,AD2113
4,4,4,4,3,3,3,3,21.1,PMLAD211,AD211,AD211202
4,4,4,4,3,3,3,3,21.1,PMLAD211,AD211,AD211207
5,3,4,3,3,3,2,3,21.1,PMLAD211,AD211,AD211128
4,4,4,4,3,3,3,5,21.1,PMLAD211,AD211,AD211174
5,3,5,3,3,3,2,3,21.1,PMLAD211,AD211,AD211180
4,4,4,4,3,4,3,5,21.1,PMLAD211,AD211,AD211214
5,3,5,4,3,3,2,3,21.1,PMLAD211,AD211,AD21193
5,3,4,4,2,3,2,5,21.1,PMLAD211,AD211,AD211154
4,4,4,4,3,3,3,3,21.1,PMLAD211,AD211,AD211336
4,4,4,4,3,3,3,3,21.1,PMLAD211,AD211,AD211190
4,4,4,4,3,5,3,5,21.1,PMLAD211,AD211,AD211238
4,4,4,4,3,3,3,3,21.1,PMLAD211,AD211,AD211253
4,4,4,4,3,3,3,3,21.1,PMLAD211,AD211,AD211335
5,3,4,4,2,2,2,4,21.1,PMLAD211,AD211,AD21183
4,4,4,4,3,3,3,3,21.1,PMLAD211,AD211,AD211252
5,3,4,4,2,2,2,5,21.1,PMLAD211,AD211,AD211262
4,4,4,4,3,3,3,3,21.1,PMLAD211,AD211,AD211100
5,3,4,3,3,3,2,3,21.1,PMLAD211,AD211,AD21142
4,3,4,4,2,4,2,5,21.1,PMLAD211,AD211,AD211243
4,4,4,4,3,3,3,3,21.1,PMLAD211,AD211,AD211316
4,4,4,4,3,3,3,3,21.1,PMLAD211,AD211,AD211340
4,4,4,4,3,3,2,3,21.1,PMLAD211,AD211,AD211106
4,4,4,4,3,3,3,3,21.1,PMLAD211,AD211,AD211236
4,4,4,4,3,3,2,3,21.1,PMLAD211,AD211,AD211310
5,3,5,3,3,3,2,3,21.1,PMLAD211,AD211,AD211225
4,4,4,4,3,3,3,3,21.1,PMLAD211,AD211,AD21148
4,4,4,4,3,3,2,3,21.1,PMLAD211,AD211,AD211174
5,3,5,3,3,3,2,3,21.1,PMLAD211,AD211,AD211287
4,4,4,4,3,3,3,3,21.1,PMLAD211,AD211,AD211176
4,4,4,4,3,3,3,3,21.1,PMLAD211,AD211,AD211278
4,4,4,4,3,3,3,3,21.1,PMLAD211,AD211,AD211325
5,3,5,3,3,3,2,3,21.1,PMLAD211,AD211,AD21128
5,3,5,4,3,3,2,3,21.1,PMLAD211,AD211,AD211112
4,4,4,4,3,3,3,3,21.1,PMLAD211,AD211,AD211172
5,3,4,3,3,3,2,3,21.1,PMLAD211,AD211,AD21178
5,3,4,3,3,3,2,3,21.1,PMLAD211,AD211,AD211223
5,3,5,3,3,3,2,3,21.1,PMLAD211,AD211,AD211323
4,4,4,4,3,3,3,3,21.1,PMLAD211,AD211,AD211303
