,relevancia,aplicabilidade,raclogico,abstracao,racmath,stats,anadados,anagraf,anapreditiva,ferramentavisual
Average,5,5,4.75,4.7,4.3,4.4,4.8,4.85,4.9,4.88
SD,0,0,0.09,0.14,0.15,0.12,0.11,0.09,0.13,0.08
